"employee_id","fullname","rating","iq_match","pauli_match","gtq_match","final_match_rate"
"employee_id","fullname","rating","0.00","0.00","0.00","0.00"
"EMP100000","Rendra Pratama","2","86.64","143.33","117.86","113.01"
"EMP100001","Wulan Setiawan",,"86.64","80.00","60.71","76.87"
"EMP100002","Julia Jatmiko Situmorang","2","100.46","110.00","71.43","94.61"
"EMP100003","Oka Halim",,"78.34","65.00","139.29","92.62"
"EMP100004","Dwi Pratama","3","123.50","125.00","75.00","109.40"
"EMP100005","Bayu Zulfikar",,"119.82","115.00","75.00","104.93"
"EMP100006","Indra Santoso","4","128.11","156.67","96.43","127.17"
"EMP100007","Rani Mahendra","4","91.24","108.33","60.71","87.21"
"EMP100008","Gita Permadi","5","126.27","78.33","82.14","98.65"
"EMP100009","Julia Anggara",,"75.58","35.00","103.57","71.80"
"EMP100010","Maya Jatmiko Handayani","2","77.42","71.67","150.00","97.47"
"EMP100011","Fajar Halim","3","115.21","75.00","110.71","101.80"
"EMP100012","Rendra Tri Purnama",,"99.54","33.33","153.57","95.89"
"EMP100013","Maya Mahendra",,"114.29","146.67","117.86","125.07"
"EMP100014","Wahyu Indrawan","2","84.79","153.33","85.71","105.63"
"EMP100015","Zahra Utama Setiawan","3","100.93","108.33","0.00","72.87"
"EMP100016","Dinda Pramudita Ginting","2","89.40","138.33","121.43","113.69"
"EMP100017","Fajar Mahendra","3","98.62","91.67","110.71","100.16"
"EMP100018","Arif Ginting","3","100.93","110.00","100.00","103.37"
"EMP100019","Rizki Iqbal Gunawan","4","115.21","46.67","82.14","84.73"
"EMP100020","Yoga Erlangga Hartanto","3","121.66","138.33","117.86","125.52"
"EMP100021","Oka Candra Kurniawan","5","100.93","36.67","0.00","51.37"
"EMP100022","Oka Nugroho","4","83.87","81.67","125.00","95.55"
"EMP100023","Adit Kurniawan","3","128.11","143.33","107.14","126.39"
"EMP100024","Rendra Candra Maulida","3","123.50","106.67","82.14","106.04"
"EMP100025","Rizky Dharma Purnama",,"100.93","88.33","121.43","103.30"
"EMP100026","Wulan Yudhistira Tamba","3","98.62","160.00","114.29","121.73"
"EMP100027","Oka Rohman",,"89.40","155.00","64.29","101.55"
"EMP100028","Nadia Saputra",,"98.62","158.33","71.43","108.38"
"EMP100029","Satya Adi Hasibuan","4","96.77","155.00","103.57","116.28"
"EMP100030","Rizky Anugrah Permadi","1","101.38","76.67","78.57","87.12"
"EMP100031","Julia Nabila Kurniawan","4","94.93","56.67","125.00","92.47"
"EMP100032","Galih Mahardika Purnama","3","100.93","48.33","128.57","93.45"
"EMP100033","Ahmad Simanjuntak","3","107.83","88.33","82.14","94.28"
"EMP100034","Ari Adi Ginting","3","106.91","56.67","125.00","97.26"
"EMP100035","Oka Tamba","2","94.93","140.00","100.00","109.97"
"EMP100036","Ayunda Utama Lestari","3","110.60","160.00","100.00","122.24"
"EMP100037","Nabila Ramadhan","1","100.93","75.00","0.00","62.87"
"EMP100038","Bella Tri Setiawan","4","85.71","46.67","128.57","86.86"
"EMP100039","Budi Adi Permadi","4","115.21","85.00","146.43","115.51"
"EMP100040","Rifqi Putra","1","103.23","91.67","85.71","94.50"
"EMP100041","Lestari Maulana","1","79.26","88.33","89.29","84.99"
"EMP100042","Oka Lukman","1","128.11","105.00","89.29","109.53"
"EMP100043","Nugroho Indrawan","5","100.93","68.33","0.00","60.87"
"EMP100044","Indra Maulida",,"75.58","123.33","146.43","111.16"
"EMP100045","Dimas Mahendra","2","102.30","165.00","82.14","115.06"
"EMP100046","Fitri Lestari","3","100.93","111.67","0.00","73.87"
"EMP100047","Hadi Pradana","4","101.38","101.67","78.57","94.62"
"EMP100048","Adit Halim","3","115.21","61.67","128.57","103.15"
"EMP100049","Rizki Halim Siregar","5","122.58","156.67","96.43","124.96"
