employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,rating,year_x,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,score,pillar_code,year_y
EMP100000,Rendra Pratama,806137,1,4,1,6,3,3,2,3,1,64,2,2021,86,75,SI,Steadiness-Influencer,,94,33,2,2,GDR,2021
EMP100001,Wulan Setiawan,476388,4,4,4,5,5,3,1,1,2,16,,2021,48,52,DS,Dominant-Steadiness,INTP,94,17,3,,GDR,2021
EMP100002,Julia Jatmiko Situmorang,941921,1,3,5,1,1,3,1,3,1,58,2,2021,66,38,DC,Dominant-Conscientious,,109,20,3,1,GDR,2021
EMP100003,Oka Halim,751615,1,3,4,2,1,1,2,2,5,15,,2021,39,63,SI,Steadiness-Influencer,ENTJ,85,39,3,,GDR,2021
EMP100004,Dwi Pratama,443809,3,4,6,5,3,3,1,1,5,34,3,2021,75,100,,Steadiness-Conscientious,INTJ,134,21,9,3,GDR,2021
EMP100005,Bayu Zulfikar,590302,1,1,5,2,3,1,1,3,1,66,,2021,69,35,DC,Dominant-Conscientious,,130,21,7,2,GDR,2021
EMP100006,Indra Santoso,826406,1,3,3,2,1,2,1,1,4,82,4,2021,94,24,SC,Steadiness-Conscientious,ESFP,139,27,6,4,GDR,2021
EMP100007,Rani Mahendra,878510,4,3,4,3,2,2,3,2,1,56,4,2021,65,45,DS,Dominant-Steadiness,ESFJ,99,17,4,4,GDR,2021
EMP100008,Gita Permadi,189647,2,4,3,1,5,1,1,4,1,40,5,2021,47,97,ID,Influencer-Dominant,INFP,137,23,1,5,GDR,2021
EMP100009,Julia Anggara,931718,1,2,5,6,4,1,3,3,2,77,,2021,21,84,DS,Dominant-Steadiness,ISFP,82,29,4,4,GDR,2021
EMP100010,Maya Jatmiko Handayani,967930,2,3,4,3,2,2,3,1,4,29,2,2021,43,61,CI,Conscientious-Influencer,ESTJ,84,42,2,2,GDR,2021
EMP100011,Fajar Halim,617452,4,1,3,5,2,3,3,2,1,51,3,2021,45,31,DI,Dominant-Influencer,ENFP,125,31,10,3,GDR,2021
EMP100012,Rendra Tri Purnama,457211,1,2,2,3,2,1,2,4,6,3,,2021,20,70,DS,Dominant-Steadiness,ISFJ,108,43,10,,GDR,2021
EMP100013,Maya Mahendra,656829,4,4,6,2,1,2,3,1,4,3,,2021,88,32,IC,Influencer-Conscientious,ENTP,124,33,9,,GDR,2021
EMP100014,Wahyu Indrawan,503585,3,3,6,1,3,1,2,4,2,65,2,2021,92,54,SI,Steadiness-Influencer,ISTJ,92,24,7,1,GDR,2021
EMP100015,Zahra Utama Setiawan,155133,4,2,3,4,5,2,3,2,1,28,3,2021,65,77,DC,Dominant-Conscientious,ENFP,109.5135135,,7,2,GDR,2021
EMP100016,Dinda Pramudita Ginting,658786,1,4,6,6,5,2,2,1,3,39,2,2021,83,93,SI,Steadiness-Influencer,ISTP,97,34,5,2,GDR,2021
EMP100017,Fajar Mahendra,583676,2,1,4,3,1,2,3,2,2,95,3,2021,55,80,CS,Conscientious-Steadiness,ENTJ,107,31,1,3,GDR,2021
EMP100018,Arif Ginting,588205,4,3,5,3,5,3,2,1,6,53,3,2021,66,69,SC,Steadiness-Conscientious,ESFJ,109.5135135,28,3,3,GDR,2021
EMP100019,Rizki Iqbal Gunawan,341900,3,4,4,2,1,2,1,3,6,27,4,2021,28,72,CD,Conscientious-Dominant,ISTP,125,23,10,4,GDR,2021
EMP100020,Yoga Erlangga Hartanto,850478,1,3,1,6,4,1,2,4,5,31,3,2021,83,83,DC,Dominant-Conscientious,ENFP,132,33,1,,GDR,2021
EMP100021,Oka Candra Kurniawan,828497,3,3,1,4,3,2,3,2,6,81,5,2021,22,34,CS,Conscientious-Steadiness,INFP,109.5135135,,2,5,GDR,2021
EMP100022,Oka Nugroho,674733,2,1,2,3,1,2,2,3,3,53,4,2021,49,94,,Influencer-Conscientious,ISTP,91,35,8,4,GDR,2021
EMP100023,Adit Kurniawan,555024,4,2,3,2,1,2,2,4,1,49,3,2021,86,52,DC,Dominant-Conscientious,ESTJ,139,30,5,3,GDR,2021
EMP100024,Rendra Candra Maulida,884289,2,1,5,3,2,2,2,3,4,44,3,2021,64,23,CD,Conscientious-Dominant,ESTP,134,23,5,3,GDR,2021
EMP100025,Rizky Dharma Purnama,786831,1,3,1,2,5,3,3,2,2,20,,2021,53,71,CS,Conscientious-Steadiness,ESTJ,109.5135135,34,8,,GDR,2021
EMP100026,Wulan Yudhistira Tamba,926498,4,1,4,2,5,2,2,4,3,65,3,2021,96,37,IS,Influencer-Steadiness,ESFJ,107,32,4,,GDR,2021
EMP100027,Oka Rohman,176075,3,3,2,1,5,1,3,3,2,132,,2021,93,76,SC,Steadiness-Conscientious,INFP,97,18,9,5,GDR,2021
EMP100028,Nadia Saputra,373327,3,1,3,3,4,1,2,4,5,22,,2021,95,71,SI,Steadiness-Influencer,INFP,107,20,3,,GDR,2021
EMP100029,Satya Adi Hasibuan,491714,3,3,5,6,5,1,1,1,5,32,4,2021,93,85,DC,Dominant-Conscientious,INTP,105,29,10,3,GDR,2021
EMP100030,Rizky Anugrah Permadi,276288,3,1,5,3,4,2,3,3,4,56,1,2021,46,100,DS,Dominant-Steadiness,ESTJ,110,22,4,1,GDR,2021
EMP100031,Julia Nabila Kurniawan,379652,4,4,3,2,4,3,2,4,2,34,4,2021,34,93,CD,Conscientious-Dominant,INTJ,103,35,3,,GDR,2021
EMP100032,Galih Mahardika Purnama,980623,2,1,3,6,3,3,1,4,2,34,3,2021,29,85,DS,Dominant-Steadiness,ENTJ,109.5135135,36,7,2,GDR,2021
EMP100033,Ahmad Simanjuntak,846300,2,2,5,3,1,3,2,4,3,37,3,2021,53,83,ID,Influencer-Dominant,ENFP,117,23,6,2,GDR,2021
EMP100034,Ari Adi Ginting,510070,1,4,6,5,5,2,1,4,1,86,3,2021,34,35,DS,Dominant-Steadiness,ENFP,116,35,5,4,GDR,2021
EMP100035,Oka Tamba,243414,3,4,1,5,4,3,3,2,4,57,2,2021,84,36,DI,Dominant-Influencer,,103,28,7,3,GDR,2021
EMP100036,Ayunda Utama Lestari,515963,2,1,1,6,4,3,3,2,3,54,3,2021,96,81,CD,Conscientious-Dominant,ESFJ,120,28,3,3,GDR,2021
EMP100037,Nabila Ramadhan,967856,1,1,6,4,2,1,2,2,6,52,1,2021,45,41,,Conscientious-Influencer,ISTJ,109.5135135,,1,2,GDR,2021
EMP100038,Bella Tri Setiawan,446315,3,3,6,5,3,2,3,4,2,50,4,2021,28,51,IC,Influencer-Conscientious,ESFP,93,36,2,4,GDR,2021
EMP100039,Budi Adi Permadi,476249,2,2,4,3,2,2,1,3,4,65,4,2021,51,52,SI,Steadiness-Influencer,ISFP,125,41,9,4,GDR,2021
EMP100040,Rifqi Putra,751135,3,1,4,2,2,3,2,4,2,81,1,2021,55,36,ID,Influencer-Dominant,ESTP,112,24,10,1,GDR,2021
